ID,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15
1,520,575.125,460.125,594.875,543.375,733.75,570.875,683.25,535,628.5,595.75,750.1428571,627.875,547.375,665.625
2,173,156.5,188.625,140.5,148.75,161.625,102.375,154.25,95.125,182.375,122.5,113.2857143,130.625,147.5,185.75
3,207,215.375,197,234.375,186.375,231.5,204.375,224.375,194,237.375,251.875,300.2857143,289,253.375,325.625
4,261.25,251.25,268.75,221,238.125,214.625,200,208.875,194.625,227.5,242,192.4285714,203.5,191.375,217.625
5,427.375,454.375,305.75,424.25,470.625,302.5,432.375,383.75,333.125,433.625,581.375,554.2857143,501.125,418.125,384.75
6,308.25,220,258.375,156.5,246.375,182.5,262,196.25,255.25,198.75,239.375,237.5714286,217.375,217,215.25
7,245.375,219,231.5,160.25,217.5,181.5,256.875,175.875,201.25,181,176.125,194.5714286,157.75,178.5,158
8,116.625,132.625,193.375,132.25,95.375,145.375,96.625,132.25,65.625,110.25,138.375,132.4285714,122.625,63,124.125
9,121.875,101.625,123.25,122.5,119.75,115,95.125,84.75,91,104.25,136.75,124.5714286,133.75,117,148.5
10,94.875,78.25,84.125,91.5,92.125,121.5,108.75,120.5,94.875,107.25,92.125,85.42857143,82.875,84,87.875
11,64.5,56.375,74.75,48.25,54.625,67.875,52.625,57.5,49.375,80.375,66.25,68,48.875,48,69.5
12,96.125,103,114.125,89.625,80.125,90.125,84.75,92.5,77.25,98.375,140.875,140.1428571,116.125,128.75,152.125
13,120.75,127.625,148.125,91.25,117,124.625,132,130.25,96.75,106.375,97.875,103.4285714,98.125,70.625,146.5
14,178.25,110.75,130.375,129.5,153.875,146.125,138,129.25,150.375,152,125.125,98.85714286,94.375,83,103
15,62.375,56.625,45.125,66.625,57.25,89.75,60,67.125,54.125,98.125,52.875,69.28571429,47,89.75,79.875
16,115.25,77.75,80,111.875,102.125,97.875,91.25,87.375,99.25,113.375,94.25,81,65.625,89.875,71.375
17,116.75,110.75,93.5,119,98.25,88.625,91.625,103.375,89.5,108.625,114.625,92.57142857,105,93.25,83.875
18,79.5,76.875,73.375,70.5,62.25,70.5,60.75,57.875,55.75,78.25,68.625,64.42857143,72.375,69.75,74.375
19,55.5,80.25,74,74.375,54.625,63.875,58.625,67.375,44.625,79.125,112.625,94.71428571,131.625,61.25,113.25
20,173,113.125,121.25,47.625,88.875,81.625,100.375,77.25,111.75,110.25,92,83.28571429,189.75,104.25,126.75
21,83.75,72.75,72.125,87.5,68.875,58.875,64,67.75,55.875,78.625,82.625,72.85714286,74,66.375,69.875
22,88.625,84.5,94.375,69.75,91.25,91.5,72.125,67,78.125,88.375,97,82.57142857,102.5,60.875,82.125
24,84,78.75,71.75,95.25,74.875,73.25,80.625,77.75,76.5,86.75,103.125,91.57142857,90.375,88.5,83.125
25,42.625,53.5,57.875,60.75,57.375,50.5,43.625,61.75,55.125,76.75,44.125,49.28571429,28.875,40.5,37.875
26,159.125,96.625,148.125,70.125,141.125,85.375,141.625,74.875,129.5,94.375,92.25,72.42857143,51.875,51.5,49.375
27,36.75,66.75,56.125,59.5,43.125,50.875,49.625,54.75,46,68.125,108.5,127,111.875,69,185.25
28,45.875,41.625,47.875,62.75,46,70,49.25,63.125,50,63,57.625,76,49.125,74.875,56.125
30,104.75,91.75,99.5,58.625,88.625,68.75,104,75.875,81.125,76.375,81.75,82.14285714,63.125,75.5,63.25
31,97.875,112.125,109.75,97.875,104.5,106,95.25,83.625,77.875,83.875,113.75,117.4285714,129.875,86.875,140.375
32,95.75,146.125,179.25,185.125,117,166.75,95.875,132.375,70.5,95.875,150.625,225.4285714,182.75,120,281.25
33,78.625,49.625,48.25,51.625,94.125,78.875,64.5,76.375,91,82.25,40.25,53.85714286,55.625,58.125,47.75
34,55.75,59.875,64.5,60.625,50.5,57.375,43.5,44.875,57.625,56.75,57.125,42.57142857,61.125,41.375,27.5
35,84.625,89.25,60.25,75.875,81.25,69,74.25,69.5,85.875,101,66.875,68.85714286,73,80.125,43.125
36,147.375,160.5,130.125,118,156.125,96.125,160.75,125.125,131.875,160,260.25,175.7142857,212.5,172.875,176.5
37,48.25,56.125,65.25,53.125,40.5,71.75,55.25,49.625,25.5,41.5,51.625,64.28571429,46.875,32.25,63.125
38,34.75,45.875,34.125,42.125,32.5,41.75,31.875,36.5,20.375,32.75,38.875,35.42857143,32.125,25.875,33.125
39,59.875,64.25,51.625,71.375,70.125,95.375,77.625,90.125,69.375,79,61.875,70.28571429,55.25,56.375,45.25
40,93.125,55.5,60.75,44.5,74.5,56.875,68.25,47.75,57.625,62,83,48.28571429,67.125,44.375,66.25
41,54.25,46.625,40.625,47.25,49,46.5,43.625,38.75,59.125,54.625,48.25,43.28571429,42.875,33.75,43.75
42,36,52.5,33.5,37.375,35.125,37.875,20,31.875,29.125,37.625,44.75,33.42857143,52.625,36.375,23.25
43,87.125,67.375,70.375,73.875,77.625,69.75,74.875,64.75,74.5,73.375,57.75,62.57142857,60.25,58.25,58.625
44,95.5,139.25,117.125,144.75,119.125,122.625,97.5,118.125,105.75,103.125,128.625,149,171.875,133.625,148.5
45,19.25,11.5,15.375,9.625,16.5,22.625,10.75,15.25,5.25,28.625,19.125,15.57142857,5.125,6,31.5
46,34,39.5,32.5,34.625,33.875,27.25,22.125,35.75,24.375,43.5,32,29.57142857,29.125,26.75,29.25
47,5.875,1.5,0,0.875,8.5,0,3.5,0.5,18.375,21.125,3.5,1.714285714,0.75,2.75,3.75
48,59.25,68.625,57.5,63.125,64.375,61.5,64.625,74,71.25,72.5,97.5,102.5714286,94.625,76,93.75
49,67.125,78.5,57,76.5,74.75,76.125,81.75,62.25,84.875,68.375,101.375,88.85714286,58,56.25,62.75
50,49.375,34.75,38.125,49.25,45.375,42.125,43.375,40.625,47.75,40.125,48,51.71428571,35.375,41.375,40.75
51,40.875,39.875,52,41.5,32.75,49.25,34.375,38,36.125,46.875,54.25,55.14285714,52,50.875,56.625
52,89.625,62.25,45.375,45.125,72.75,69.5,52,53.375,62.75,77.5,42.625,55,42.875,97,34.25
53,46,60.875,44.375,43.25,43,47.375,43.25,56.125,44.875,61.75,71.875,56,67.5,42,65.125
54,50,61,48.125,52,53.75,50.375,41.375,50.5,46.25,53.75,69.125,54.28571429,77.125,50.5,56.875
55,13.375,8.875,19.5,23.75,10.75,26.375,18.5,23.875,7.375,22.625,25,36.42857143,16.5,7.625,25.875
56,18.5,8.75,14.375,18.375,17,18.625,13.25,10.5,14.625,28.375,14.875,11.71428571,17.375,26.25,16.25
57,60.375,60,51.375,70.5,63.75,75.875,59.125,62,53.25,67.5,69.375,73.42857143,76.75,68.875,70.125
58,42.75,35.625,47.625,36.375,51.25,44.875,39.625,39.375,31.5,38.625,38.875,37.85714286,43.875,37.625,52.625
59,79.875,51.75,50.375,58.125,63.875,64.75,43.375,54.5,63.625,72.5,54.125,46.28571429,49.125,63,43.125
60,39.5,55.375,46,28.625,39.75,47.25,32.25,39.625,35.75,52.125,57.125,52.57142857,55.875,39.5,103.375
61,25.5,37,33.875,55.875,35.875,44.5,32.5,26.75,21.5,38.375,34.5,42.42857143,33.875,37.25,37
62,45.5,45.625,46.25,57.25,40.25,54.625,45,47.375,42.375,52.625,48.375,58,47.125,42.125,39.875
64,23.875,40.125,20.125,35.5,32.625,28.375,20.125,31.75,16.875,34,24,26.42857143,33.125,26.25,27.375
65,44.125,49.875,38.125,41.625,45.5,49.25,43.125,34.75,46.25,60.5,53.375,41.71428571,63.875,44.5,64.375
66,48.125,50.375,44,63.625,47.625,47.75,35.125,46.375,42,49.25,64.5,53.85714286,59.75,45.625,52.375
67,30.5,34.875,27.625,31.5,22,29,29,19.875,24.5,33.375,33.125,32.57142857,39.5,42.375,33.25
68,75,67.125,65.5,83.5,72.125,71.75,69.875,73.125,63.5,76.625,75,71.14285714,65.875,73.25,58.25
69,20.75,14,14.875,13.875,19.75,15.5,3,11.625,12.5,20.875,7.5,5.857142857,13.25,12.625,10.5
70,32.375,49,54.375,55.875,41.375,47,41.375,54,28.75,49.125,50.25,54.57142857,45.875,40.625,58.375
71,72.625,70.25,74.5,54.125,62.875,70.875,80,68.875,66,80.5,74.375,92,84.625,87,92.125
72,48.75,57.125,50.25,56.5,56.75,55.5,50.125,73.125,47.625,60.125,42.75,38.42857143,40.625,43.25,33.25
73,64.5,49,54.5,48.875,65.375,53.25,51.375,47,53.25,48.5,45.5,33.85714286,24.5,21.625,28.625
74,42.25,43.625,40.25,41.25,40.125,41.5,37.375,27.625,37.75,47.5,50.875,38.57142857,52.625,33.875,42.375
75,44.75,34.875,36.75,42,41.375,48.625,39.125,40.375,37.75,49.25,40.875,41.71428571,56.625,41.75,48.125
76,62.375,45.625,41.25,51.125,59.875,51.75,66.375,45.875,68,67.625,58.5,50.42857143,46.25,47.5,33.875
77,76.75,54.125,64.625,45.5,75.25,52.75,54.125,59.875,67.625,52.375,75.125,46.14285714,66.375,45,68.25
78,24.25,30,32.75,31.375,30.875,35.875,21.25,28.5,25.375,34.25,30.625,32.14285714,25.125,24.875,22.5
79,70,72.125,62.5,81.125,71.5,55.25,61.75,67,64.5,66.5,92.25,72,83.625,75.75,62.125
81,39.125,52.5,40.5,49.375,42.125,32.375,38.5,44.25,42.625,45.625,78.375,66.14285714,92.25,56.25,79
82,49.625,56.625,56.25,54.125,48.625,57.125,53.75,56.75,43.625,59.25,83.5,89.28571429,69.625,45.375,76.375
83,16.25,9,9.75,14.5,7.875,4.5,3.5,4.125,8,14,9.25,6.142857143,9.875,2.875,7.125
84,46.75,27.25,30.875,19.375,32.375,29,25.625,28.875,20,23.875,23.25,24.71428571,26.625,24.75,30.5
85,42.625,41.375,34.75,45.625,35.375,48.75,46.5,54.875,35.875,55.875,42.875,52.85714286,44.875,55.75,46.375
86,57,46.875,52.625,57,55.125,61,54.5,69.25,48.875,50.875,44.5,46.71428571,29.875,27.625,29.25
88,18.875,20.375,17.75,21.75,18,16.375,17.75,13.875,12.25,23.375,34.5,42.28571429,36.375,22.625,50.625
89,33.625,29.5,32.5,33.375,26.375,29.5,30.125,28.25,25.625,32.25,36.375,35.14285714,23.625,29.375,25.875
90,69.625,54.875,51.625,40.625,49.5,36.25,47.25,47.5,47.875,40.125,52.75,49,54.5,67.125,60.5
