Sampling,Treat,Prof,Stage,Plot,Rep,Sample
1,AWD,T,IN,P01,1,M8499
1,AWD,B,IN,P01,1,M8500
1,MSD,T,IN,P02,1,M8501
1,MSD,B,IN,P02,1,M8502
1,CON,T,IN,P03,1,M8503
1,CON,B,IN,P03,1,M8504
1,MSD,T,IN,P04,2,M8505
1,MSD,B,IN,P04,2,M8506
1,AWD,T,IN,P05,2,M8507
1,AWD,B,IN,P05,2,M8508
1,CON,T,IN,P06,2,M8509
1,CON,B,IN,P06,2,M8510
1,MSD,T,IN,P07,3,M8511
1,MSD,B,IN,P07,3,M8512
1,CON,T,IN,P08,3,M8513
1,CON,B,IN,P08,3,M8514
1,AWD,T,IN,P09,3,M8515
1,AWD,B,IN,P09,3,M8516
1,AWD,T,IN,P10,4,M8517
1,AWD,B,IN,P10,4,M8518
1,MSD,T,IN,P11,4,M8519
1,MSD,B,IN,P11,4,M8520
1,CON,T,IN,P12,4,M8521
1,CON,B,IN,P12,4,M8522
1,MSD,T,IN,P13,5,M8523
1,MSD,B,IN,P13,5,M8524
1,AWD,T,IN,P14,5,M8525
1,AWD,B,IN,P14,5,M8526
1,CON,T,IN,P15,5,M8527
1,CON,B,IN,P15,5,M8528
2,AWD,T,GS,P01,1,M8591
2,AWD,B,GS,P01,1,M8592
2,MSD,T,GS,P02,1,M8593
2,MSD,B,GS,P02,1,M8594
2,CON,T,GS,P03,1,M8595
2,CON,B,GS,P03,1,M8596
2,MSD,T,GS,P04,2,M8597
2,MSD,B,GS,P04,2,M8598
2,AWD,T,GS,P05,2,M8599
2,AWD,B,GS,P05,2,M8600
2,CON,T,GS,P06,2,M8601
2,CON,B,GS,P06,2,M8602
2,MSD,T,GS,P07,3,M8603
2,MSD,B,GS,P07,3,M8604
2,CON,T,GS,P08,3,M8605
2,CON,B,GS,P08,3,M8606
2,AWD,T,GS,P09,3,M8607
2,AWD,B,GS,P09,3,M8608
2,AWD,T,GS,P10,4,M8609
2,AWD,B,GS,P10,4,M8610
2,MSD,T,GS,P11,4,M8611
2,MSD,B,GS,P11,4,M8612
2,CON,T,GS,P12,4,M8613
2,MSD,T,GS,P13,5,M8615
2,MSD,B,GS,P13,5,M8616
2,AWD,T,GS,P14,5,M8617
2,AWD,B,GS,P14,5,M8618
2,CON,T,GS,P15,5,M8619
2,CON,B,GS,P15,5,M8620
3,AWD,T,GS,P01,1,M8726
3,AWD,B,GS,P01,1,M8727
3,MSD,T,GS,P02,1,M8728
3,MSD,B,GS,P02,1,M8729
3,CON,T,GS,P03,1,M8730
3,CON,B,GS,P03,1,M8731
3,MSD,T,GS,P04,2,M8732
3,MSD,B,GS,P04,2,M8733
3,AWD,T,GS,P05,2,M8734
3,AWD,B,GS,P05,2,M8735
3,CON,T,GS,P06,2,M8736
3,CON,B,GS,P06,2,M8737
3,MSD,T,GS,P07,3,M8738
3,MSD,B,GS,P07,3,M8739
3,CON,T,GS,P08,3,M8740
3,CON,B,GS,P08,3,M8741
3,AWD,T,GS,P09,3,M8742
3,AWD,B,GS,P09,3,M8743
3,AWD,T,GS,P10,4,M8744
3,AWD,B,GS,P10,4,M8745
3,MSD,T,GS,P11,4,M8746
3,MSD,B,GS,P11,4,M8747
3,CON,T,GS,P12,4,M8748
3,CON,B,GS,P12,4,M8749
3,MSD,T,GS,P13,5,M8750
3,MSD,B,GS,P13,5,M8751
3,AWD,T,GS,P14,5,M8752
3,AWD,B,GS,P14,5,M8753
3,CON,T,GS,P15,5,M8754
3,CON,B,GS,P15,5,M8755
4,AWD,T,GS,P01,1,M8814
4,AWD,B,GS,P01,1,M8815
4,MSD,T,GS,P02,1,M8816
4,MSD,B,GS,P02,1,M8817
